parks_name,id,name,latitude,longitude,status,wait_time,ll_time,last_updated
Magic Kingdom,796b0a25-c51e-456e-9bb8-50a324e301b3,Jungle Cruise,28.41797818,-81.5834393157,OPERATING,85,19:10,2026-02-16 17:34:22
Magic Kingdom,5a43d1a7-ad53-4d25-abfe-25625f0da304,TRON Lightcycle / Run,28.419625,-81.577985,OPERATING,80,19:45,2026-02-16 17:41:22
Magic Kingdom,924a3b2c-6b4b-49e5-99d3-e9dc3f2e8a48,The Barnstormer,28.4207661576,-81.5783907473,OPERATING,90,19:05,2026-02-16 17:45:22
Magic Kingdom,e40ac396-cbac-43f4-8752-764ed60ccceb,Walt Disney World Railroad - Fantasyland,28.420934,-81.578368,OPERATING,50,20:00,2026-02-16 17:30:22
Magic Kingdom,3cba0cb4-e2a6-402c-93ee-c11ffcb127ef,Under the Sea - Journey of The Little Mermaid,28.4211203,-81.579975,OPERATING,25,18:25,2026-02-16 17:31:22
Magic Kingdom,9d4d5229-7142-44b6-b4fb-528920969a2c,Seven Dwarfs Mine Train,28.42037,-81.58031,OPERATING,30,19:55,2026-02-16 17:24:22
Magic Kingdom,06c599f9-1ddf-4d47-9157-a992acafc96b,Walt Disney World Railroad - Frontierland,28.41969,-81.585078,OPERATING,20,19:30,2026-02-16 17:43:22
Magic Kingdom,d9d12438-d999-4482-894b-8955fdb20ccf,Astro Orbiter,28.4184926179,-81.5789887902,OPERATING,60,19:30,2026-02-16 17:28:22
Magic Kingdom,de3309ca-97d5-4211-bffe-739fed47e92f,Big Thunder Mountain Railroad,28.4199638504,-81.5846422864,OPERATING,10,18:50,2026-02-16 17:35:22
Magic Kingdom,72c7343a-f7fb-4f66-95df-c91016de7338,Buzz Lightyear's Space Ranger Spin,28.4182868839,-81.5794086456,OPERATING,45,20:05,2026-02-16 17:38:22
Magic Kingdom,273ddb8d-e7b5-4e34-8657-1113f49262a5,Prince Charming Regal Carrousel,28.420169,-81.581255,OPERATING,40,19:30,2026-02-16 17:34:22
Magic Kingdom,890fa430-89c0-4a3f-96c9-11597888005e,Dumbo the Flying Elephant,28.420509033,-81.5789473057,OPERATING,95,18:05,2026-02-16 17:45:22
Magic Kingdom,f5aad2d4-a419-4384-bd9a-42f86385c750,"""it's a small world""",28.4204816402,-81.5820392026,OPERATING,80,19:00,2026-02-16 17:31:22
Magic Kingdom,15700490-3749-45cf-a737-3cba56e13704,Liberty Square Riverboat,28.4195563399,-81.5827982677,OPERATING,10,18:45,2026-02-16 17:30:22
Magic Kingdom,0aae716c-af13-4439-b638-d75fb1649df3,Mad Tea Party,28.4200230397,-81.5798248916,OPERATING,80,18:30,2026-02-16 17:36:22
Magic Kingdom,888fb4a4-7adf-47a1-8ba2-c258cc64fd75,Main Street Vehicles,28.4168698711,-81.5815081252,OPERATING,85,19:05,2026-02-16 17:28:22
Magic Kingdom,86a41273-5f15-4b54-93b6-829f140e5161,Peter Pan's Flight,28.420264027199998,-81.5818916811,OPERATING,40,19:20,2026-02-16 17:41:22
Magic Kingdom,352feb94-e52e-45eb-9c92-e4b44c6b1a9d,Pirates of the Caribbean,28.4179699,-81.584225,OPERATING,55,19:20,2026-02-16 17:26:22
Magic Kingdom,b2260923-9315-40fd-9c6b-44dd811dbe64,Space Mountain,28.4188341691,-81.5781962872,OPERATING,20,19:55,2026-02-16 17:27:22
Magic Kingdom,a5241f3b-4ab5-4902-b5ba-435132ef553d,Splash Mountain,28.419418,-81.58498,OPERATING,95,19:35,2026-02-16 17:28:22
Magic Kingdom,2551a77d-023f-4ab1-9a19-8afec0190f39,Haunted Mansion,28.4202,-81.58288,OPERATING,60,19:50,2026-02-16 17:35:22
Magic Kingdom,96455de6-f4f1-403c-9391-bf8396979149,The Magic Carpets of Aladdin,28.41843,-81.583472,OPERATING,80,19:20,2026-02-16 17:37:22
Magic Kingdom,0d94ad60-72f0-4551-83a6-ebaecdd89737,The Many Adventures of Winnie the Pooh,28.420212,-81.580266,OPERATING,40,18:20,2026-02-16 17:31:22
Magic Kingdom,ffcfeaa2-1416-4920-a1ed-543c1a1695c4,Tomorrowland Transit Authority PeopleMover,28.418155,-81.579033,OPERATING,25,18:55,2026-02-16 17:29:22
Magic Kingdom,8183f3f2-1b59-4b9c-b634-6a863bdf8d84,Walt Disney's Carousel of Progress,28.4180310951,-81.5790083064,OPERATING,35,20:00,2026-02-16 17:42:22
Epcot,e3549451-b284-453d-9c31-e3b1207abd79,Guardians of the Galaxy: Cosmic Rewind,28.3749021961781,-81.5478397673417,OPERATING,45,19:15,2026-02-16 17:39:22
Epcot,fb076275-0570-4d62-b2a9-4d6515130fa3,The Seas with Nemo & Friends,28.374904,-81.550852,OPERATING,75,19:45,2026-02-16 17:27:22
Epcot,8d7ccdb1-a22b-4e26-8dc8-65b1938ed5f0,Frozen Ever After,28.370745,-81.54653,DOWN,80,18:20,2026-02-16 17:45:22
Epcot,81b15dfd-cf6a-466f-be59-3dd65d2a2807,Soarin' Over California,28.373592,-81.552248,OPERATING,30,19:30,2026-02-16 17:32:22
Epcot,22f48b73-01df-460e-8969-9eb2b4ae836c,Gran Fiesta Tour Starring The Three Caballeros,28.371649,-81.547368,OPERATING,40,18:05,2026-02-16 17:25:22
Epcot,75449e85-c410-4cef-a368-9d2ea5d52b58,Journey Into Imagination With Figment,28.372994,-81.551401,OPERATING,35,19:55,2026-02-16 17:27:22
Epcot,8f353879-d6ac-4211-9352-4029efb47c18,Living with the Land,28.374245,-81.552301,OPERATING,40,18:20,2026-02-16 17:41:22
Epcot,5b6475ad-4e9a-4793-b841-501aa382c9c0,Mission: SPACE,28.373927,-81.547156,DOWN,70,18:30,2026-02-16 17:27:22
Epcot,480fde8f-fe58-4bfb-b3ab-052a39d4db7c,Spaceship Earth,28.375583,-81.549401,OPERATING,45,18:45,2026-02-16 17:28:22
Epcot,37ae57c5-feaf-4e47-8f27-4b385be200f0,Test Track,28.373228,-81.547489,OPERATING,75,18:20,2026-02-16 17:33:22
Hollywood Studios,399aa0a1-98e2-4d2b-b297-2b451e9665e1,Slinky Dog Dash,28.356245,-81.562786,OPERATING,50,19:00,2026-02-16 17:32:22
Hollywood Studios,d56506e2-6ad3-443a-8065-fea37987248d,Alien Swirling Saucers,28.355385,-81.562379,OPERATING,25,19:50,2026-02-16 17:45:22
Hollywood Studios,34c4916b-989b-4ff1-a7e3-a6a846a3484f,Millennium Falcon: Smugglers Run,28.353889,-81.561689,OPERATING,15,19:55,2026-02-16 17:27:22
Hollywood Studios,1a2e70d9-50d5-4140-b69e-799e950f7d18,Star Wars: Rise of the Resistance,28.354884,-81.560457,OPERATING,50,19:50,2026-02-16 17:42:22
Hollywood Studios,20b5daa8-e1ea-436f-830c-2d7d18d929b5,Toy Story Mania!,28.356404,-81.561894,OPERATING,30,18:20,2026-02-16 17:25:22
Hollywood Studios,e516f303-e82d-4fd3-8fbf-8e6ab624cf89,Rock 'n' Roller Coaster Starring Aerosmith,28.359712,-81.56059,OPERATING,5,19:25,2026-02-16 17:36:22
